City,Year,Shell,Volume,Mileage,Transmission,Rudder,Gear,CustomsCleared,Type Engine,Company,Model,Price
Актобе,2012,кроссовер,3.5,158000,типтроник,слева,полный привод,Нет,бензин,BMW,X5,6000000
Алматы,1996,универсал,2.2,200000,автомат,справа,передний привод,Да,бензин,Toyota,Scepter,2250000
Алматы,2013,пикап,2.7,120000,механика,слева,полный привод,Да,бензин,Toyota,Hilux,11500000
Алматы,2000,седан,2.5,246000,типтроник,слева,задний привод,Да,бензин,BMW,525,4300000
Алматы,2014,седан,2.0,156000,автомат,слева,задний привод,Да,дизель,BMW,520,10000000
Алматы,2011,внедорожник,4.6,173000,автомат,слева,полный привод,Да,бензин,Lexus,GX 460,14500000
Нур-Султан (Астана),2007,седан,3.5,68000,автомат,справа,задний привод,Нет,бензин,Toyota,Crown,3150000
Алматы,2007,универсал,2.5,195202,автомат,слева,полный привод,Да,бензин,Subaru,Outback,4190000
Нур-Султан (Астана),2006,кроссовер,3.2,205000,автомат,слева,полный привод,Да,бензин,Volkswagen,Touareg,6200000
Шиели,1993,седан,2.8,319500,механика,слева,задний привод,Да,бензин,Mercedes-Benz,E 280,2300000
Караганда,2013,кроссовер,1.2,150000,автомат,слева,передний привод,Да,бензин,Skoda,Yeti,4900000
Актобе,2012,хэтчбек,1.6,75000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2114 (хэтчбек),1300000
Нур-Султан (Астана),2004,хэтчбек,1.6,189,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2114 (хэтчбек),800000
Алматы,2014,седан,1.6,52000,автомат,слева,передний привод,Да,бензин,Kia,Rio,5400000
Нур-Султан (Астана),2020,седан,2.5,12000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,13200000
Алматы,2013,кроссовер,1.6,131855,вариатор,слева,передний привод,Да,бензин,Nissan,Qashqai,5250000
Алматы,2003,седан,1.6,142180,автомат,слева,передний привод,Да,бензин,Hyundai,Accent,2490000
Алматы,2015,седан,1.6,79574,автомат,слева,передний привод,Да,бензин,Kia,Rio,4890000
Алматы,2013,кроссовер,1.6,219385,вариатор,слева,передний привод,Да,бензин,Nissan,Qashqai,5690000
Алматы,2014,седан,1.6,67000,типтроник,слева,передний привод,Да,бензин,Kia,Rio,5150000
Бауыржана Момышулы,1991,седан,2.0,111111,механика,слева,задний привод,Да,бензин,Mercedes-Benz,E 200,1300000
Алматы,2015,седан,1.6,80000,автомат,слева,передний привод,Да,бензин,Hyundai,Accent,5300000
Алматы,2001,внедорожник,4.7,259998,типтроник,слева,полный привод,Да,бензин,Lexus,LX 470,5800000
Шымкент,2001,универсал,2.2,280000,автомат,слева,передний привод,Да,бензин,Opel,Vectra,2100000
Актобе,1998,внедорожник,3.0,290000,автомат,справа,полный привод,Нет,дизель,Toyota,Hilux Surf,4000000
Алматы,1993,внедорожник,4.3,320000,автомат,слева,полный привод,Да,бензин,Mitsubishi,Pajero,4500000
Риддер,2014,универсал,2.5,112000,автомат,слева,полный привод,Да,бензин,Subaru,Outback,8500000
Уральск,2008,седан,2.4,255000,автомат,слева,передний привод,Нет,бензин,Toyota,Camry,3700000
Алматы,2018,кроссовер,1.6,40000,автомат,слева,передний привод,Да,гибрид,Kia,Niro,8600000
Алматы,2014,седан,2.5,77000,автомат,слева,передний привод,Да,газ-бензин,Toyota,Camry,9700000
Шымкент,2011,седан,2.5,159000,вариатор,слева,передний привод,Нет,бензин,Nissan,Teana,3600000
Нур-Султан (Астана),2013,седан,2.5,177027,автомат,слева,передний привод,Да,бензин,Toyota,Camry,7500000
Алматы,2016,седан,1.6,82000,автомат,слева,передний привод,Да,бензин,Toyota,Corolla,7800000
Алматы,2015,седан,1.6,150639,механика,слева,передний привод,Да,бензин,Ford,Focus,3599990
Петропавловск,2019,седан,1.6,33000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2190 (седан),3350000
Тараз,1997,седан,1.6,281000,механика,слева,передний привод,Да,бензин,Volkswagen,Passat,1650000
Алматы,1993,внедорожник,2.4,80000,автомат,слева,полный привод,Да,дизель,Mercedes-Benz,G 240,4500000
Нур-Султан (Астана),2015,кроссовер,2.4,180000,автомат,слева,передний привод,Да,бензин,Geely,Emgrand X7,4600000
Алматы,2014,универсал,1.6,79255,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2171 (универсал),2420000
Нур-Султан (Астана),2001,минивэн,2.0,333000,автомат,слева,передний привод,Да,бензин,Volkswagen,Sharan,2700000
Актау,1999,кроссовер,3.0,260000,автомат,слева,полный привод,Да,газ-бензин,Lexus,RX 300,3950000
Усть-Каменогорск,2017,универсал,2.5,38000,вариатор,слева,полный привод,Да,бензин,Subaru,Outback,13000000
Актау,2001,кроссовер,2.0,223000,автомат,слева,полный привод,Да,бензин,Mitsubishi,Pajero IO,3000000
Алматы,2015,седан,1.6,51000,механика,слева,передний привод,Да,бензин,Datsun,on-DO,2500000
Костанай,2006,внедорожник,6.0,171661,автомат,слева,полный привод,Да,бензин,Hummer,H2,9000000
Кызылорда,2007,седан,2.0,135500,типтроник,слева,передний привод,Да,бензин,Mazda,3,2800000
Павлодар,1996,седан,3.2,292500,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,E 320,2700000
Семей,2013,кроссовер,1.8,166630,автомат,слева,полный привод,Да,бензин,Chevrolet,Tracker,4500000
Уральск,2005,седан,1.5,50000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2115 (седан),930000
Алматы,1992,седан,2.3,420000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,E 230,1650000
Уральск,2002,седан,1.6,245000,механика,слева,передний привод,Нет,бензин,Nissan,Primera,1550000
Нур-Султан (Астана),2019,внедорожник,5.7,14000,автомат,слева,полный привод,Да,бензин,Lexus,LX 570,44600000
Нур-Султан (Астана),1998,универсал,1.4,570000,механика,слева,передний привод,Да,бензин,Honda,Civic,1400000
Уральск,2009,седан,1.6,165000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2170 (седан),1200000
Алматы,2014,универсал,1.6,200000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),Largus,3200000
Петропавловск,2017,седан,2.5,155000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,11200000
Алматы,2015,седан,5.5,60000,автомат,слева,полный привод,Да,бензин,Mercedes-Benz, 2015,23000000
Нур-Султан (Астана),2009,минивэн,2.0,130000,вариатор,справа,передний привод,Нет,бензин,Nissan,Serena,3600000
Усть-Каменогорск,2001,седан,1.6,337000,механика,слева,передний привод,Нет,бензин,Volkswagen,Bora,1300000
Нур-Султан (Астана),2016,внедорожник,5.7,68000,автомат,слева,полный привод,Да,бензин,Lexus,LX 570,34600000
Семей,2006,минивэн,2.4,120000,автомат,справа,полный привод,Нет,бензин,Toyota,Alphard,3499999
Костанай,2013,седан,1.6,55000,автомат,слева,передний привод,Да,бензин,Hyundai,Accent,4180000
Тараз,1996,универсал,2.0,37631,автомат,справа,полный привод,Да,бензин,Subaru,Legacy,1600000
Караганда,2011,кроссовер,4.4,110000,автомат,слева,полный привод,Да,бензин,BMW,X5,10500000
Караганда,1990,седан,2.6,191000,механика,слева,задний привод,Да,бензин,Mercedes-Benz,E 260,1400000
Алматы,1995,минивэн,2.8,265000,автомат,справа,полный привод,Да,дизель,Mitsubishi,Delica,2700000
Алматы,1997,купе,2.0,170000,механика,слева,передний привод,Да,бензин,Mitsubishi,Eclipse,2350000
Актау,2001,седан,1.5,127000,механика,слева,передний привод,Да,газ-бензин,Daewoo,Nexia,1000000
Караганда,2015,внедорожник,1.8,47000,механика,слева,передний привод,Да,бензин,Chevrolet,Orlando,5600000
Щучинск,2004,седан,3.0,150000,механика,слева,передний привод,Нет,бензин,Mazda,6,1900000
Нур-Султан (Астана),2014,седан,1.8,135000,типтроник,слева,передний привод,Да,бензин,Chevrolet,Cruze,3950000
Атырау,2004,седан,2.4,283000,механика,слева,передний привод,Нет,бензин,Toyota,Camry,3300000
Шымкент,2011,седан,1.6,290000,механика,слева,передний привод,Да,бензин,Daewoo,Nexia,1350000
Костанай,2019,седан,1.6,8300,автомат,слева,передний привод,Да,бензин,Hyundai,Accent,6490000
Актобе,2011,седан,1.6,156420,механика,слева,передний привод,Да,бензин,Hyundai,Avante,4200000
Алматы,2002,кроссовер,3.0,170000,автомат,слева,полный привод,Да,бензин,Lexus,RX 300,5350000
Алматы,2012,кроссовер,3.5,72000,автомат,слева,полный привод,Да,бензин,Mercedes-Benz,GLK 300,11000000
Алматы,2005,седан,2.4,250000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,4700000
Атырау,1996,седан,2.8,430000,механика,слева,передний привод,Да,бензин,Audi,A8,1700000
Актобе,2001,седан,2.6,374000,автомат,слева,задний привод,Нет,газ-бензин,Mercedes-Benz,E 260,3200000
Алматы,2014,кроссовер,1.6,66700,вариатор,слева,передний привод,Да,бензин,Nissan,Juke,5750000
Шымкент,2014,седан,1.6,150000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2190 (седан),3300000
Петропавловск,1996,седан,5.0,220000,автомат,слева,задний привод,Да,газ-бензин,Mercedes-Benz,S 500,5900000
Усть-Каменогорск,1985,купе,2.8,98989,механика,слева,задний привод,Да,бензин,BMW,328,1750000
Усть-Каменогорск,2020,внедорожник,1.7,920,механика,слева,полный привод,Да,бензин,ВАЗ (Lada),2121 Нива,5300000
Аркалык,2006,универсал,2.0,175000,типтроник,слева,передний привод,Да,бензин,Volkswagen,Passat,3300000
Шымкент,2014,седан,1.6,89145,автомат,слева,передний привод,Да,бензин,Kia,Rio,5250000
Нур-Султан (Астана),2020,седан,1.6,18000,автомат,слева,передний привод,Да,бензин,Kia,Rio,7200000
Нур-Султан (Астана),2015,седан,2.5,150269,автомат,слева,передний привод,Да,бензин,Toyota,Camry,9650000
Талдыкорган,1995,седан,2.5,234567,автомат,слева,задний привод,Да,бензин,BMW,525,2800000
Алматы,1995,седан,2.5,234567,автомат,слева,задний привод,Да,бензин,BMW,525,2800000
Караганда,2005,кроссовер,3.0,249000,автомат,слева,полный привод,Да,бензин,BMW,X5,5500000
Алматы,2013,седан,3.0,127000,автомат,слева,полный привод,Да,бензин,Mercedes-Benz,E 300,12000000
Нур-Султан (Астана),2007,седан,2.3,271302,типтроник,слева,передний привод,Да,бензин,Nissan,Teana,3500000
Алматы,2018,внедорожник,2.7,26000,механика,слева,полный привод,Да,бензин,УАЗ,Hunter,4550000
Алматы,2007,седан,6.3,148000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,S 63 AMG,10000000
Костанай,2013,хэтчбек,1.3,65000,механика,слева,передний привод,Нет,бензин,Lifan,Smily,1750000
Нур-Султан (Астана),2006,седан,1.6,128000,автомат,слева,передний привод,Да,бензин,Toyota,Yaris,3600000
Усть-Каменогорск,1998,внедорожник,3.0,416000,автомат,слева,полный привод,Да,дизель,Toyota,Land Cruiser Prado,5800000
Уральск,2010,внедорожник,5.6,190000,автомат,слева,полный привод,Да,газ-бензин,Nissan,Patrol,9750000
Алматы,2019,хэтчбек,1.0,26000,автомат,слева,передний привод,Да,бензин,Kia,Morning,4650000
Караганда,2008,седан,1.6,153000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2115 (седан),900000
Актобе,2005,седан,1.6,200000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2110 (седан),800000
Каскелен,2013,седан,1.5,50000,механика,слева,передний привод,Да,бензин,FAW,V5,1100000
Актобе,2014,кроссовер,2.0,106000,автомат,слева,передний привод,Да,бензин,Renault,Duster,4000000
Хромтау,2018,хэтчбек,1.6,89000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),Vesta,3900000
Нур-Султан (Астана),2012,седан,3.5,107000,автомат,слева,задний привод,Да,бензин,Lexus,GS 350,13500000
Актобе,2001,универсал,1.5,170000,механика,слева,передний привод,Нет,бензин,Kia,Rio,1250000
Алматы,2009,седан,1.8,178000,типтроник,слева,задний привод,Да,бензин,Mercedes-Benz,E 200,6900000
Павлодар,2006,седан,3.5,278415,типтроник,слева,передний привод,Нет,бензин,Lexus,ES 350,4850000
Тараз,1995,седан,1.8,278000,механика,слева,задний привод,Да,бензин,BMW,318,1500000
Караганда,2010,седан,2.5,147000,типтроник,слева,задний привод,Да,бензин,BMW,523,7500000
Кызылорда,1991,хэтчбек,1.8,256000,механика,слева,передний привод,Да,бензин,Volkswagen,Golf,1200000
Алматы,2006,седан,3.5,350000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,E 350,3300000
Алматы,2005,седан,2.4,251164,автомат,слева,передний привод,Да,бензин,Toyota,Camry,4290000
Алматы,2000,седан,2.0,78000,механика,слева,задний привод,Да,бензин,Toyota,Altezza,12000000
Нур-Султан (Астана),2019,внедорожник,5.7,36000,автомат,слева,полный привод,Да,бензин,Lexus,LX 570,43600000
Нур-Султан (Астана),2015,седан,2.5,85000,автомат,слева,передний привод,Да,бензин,Toyota,Camry,9000000
Костанай,2004,седан,1.6,147000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2110 (седан),760000
Нур-Султан (Астана),2009,кроссовер,3.5,172000,типтроник,слева,полный привод,Да,бензин,Infiniti,FX35,7900000
Нур-Султан (Астана),2010,седан,2.5,173772,автомат,слева,передний привод,Да,бензин,Toyota,Camry,6300000
Атырау,2015,седан,1.6,190000,автомат,слева,передний привод,Да,бензин,Volkswagen,Polo,4000000
Алматы,2002,седан,1.4,220000,механика,слева,передний привод,Да,бензин,Skoda,Fabia,1450000
Каскелен,2019,седан,1.6,23000,типтроник,слева,передний привод,Да,бензин,Volkswagen,Polo,6400000
Усть-Каменогорск,2011,седан,1.8,204000,типтроник,слева,передний привод,Да,бензин,Chevrolet,Cruze,3400000
Актобе,2007,седан,1.5,170000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2115 (седан),750000
Кокшетау,2006,кроссовер,2.0,270000,механика,слева,полный привод,Да,бензин,Nissan,X-Trail,4250000
Караганда,2020,седан,1.7,5,механика,слева,полный привод,Да,бензин,ВАЗ (Lada),2121 Нива,4600000
Актобе,2008,внедорожник,1.7,95000,механика,слева,полный привод,Нет,бензин,Chevrolet,Niva,1700000
Актобе,2012,внедорожник,1.7,140000,механика,слева,полный привод,Да,бензин,Chevrolet,Niva,2500000
Актобе,2012,хэтчбек,1.6,176521,механика,слева,передний привод,Нет,газ-бензин,Daewoo,Nexia,1500000
Алматы,2000,седан,1.6,450,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),21099 (седан),850000
Кокшетау,1992,седан,2.0,348305,механика,слева,передний привод,Да,бензин,Audi,80,1150000
Павлодар,2014,внедорожник,2.7,87295,автомат,слева,полный привод,Да,бензин,Toyota,Land Cruiser Prado,15500000
Костанай,2010,хэтчбек,1.3,113000,механика,слева,передний привод,Нет,бензин,ЗАЗ,Chance,800000
Семей,2007,седан,2.4,222112,автомат,слева,передний привод,Да,бензин,Toyota,Camry,4900000
Актау,2013,седан,1.6,60000,автомат,слева,передний привод,Да,бензин,Hyundai,Elantra,6200000
Усть-Каменогорск,1996,внедорожник,3.0,350000,автомат,справа,полный привод,Да,бензин,Mitsubishi,Delica,3700000
Алматы,2006,минивэн,2.0,148000,автомат,справа,полный привод,Нет,бензин,Toyota,Estima,2700000
Уральск,2001,седан,2.6,300000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,C 240,2300000
Алматы,2000,микроавтобус,2.9,467000,механика,слева,передний привод,Да,дизель,SsangYong,Istana,1655000
Уральск,2005,внедорожник,4.0,260000,автомат,слева,полный привод,Нет,бензин,Nissan,Pathfinder,3700000
Кокшетау,1999,седан,1.6,226388,механика,слева,передний привод,Да,бензин,Rover,400 Series,1500000
Тараз,1994,седан,1.6,427000,механика,слева,передний привод,Да,бензин,Toyota,Carina E,1550000
Алматы,2006,внедорожник,4.0,358000,автомат,слева,полный привод,Да,газ-бензин,Toyota,Land Cruiser Prado,9800000
Алматы,1992,седан,4.0,53000,автомат,слева,задний привод,Да,бензин,Lincoln,Town Car,5990000
Шымкент,2017,кроссовер,1.5,95000,механика,слева,передний привод,Да,бензин,JAC,S3,3900000
Алматы,1997,внедорожник,3.0,339000,автомат,слева,полный привод,Да,дизель,Toyota,Land Cruiser Prado,3600000
Нур-Султан (Астана),2016,седан,4.4,125000,автомат,слева,полный привод,Да,бензин,BMW,750,27500000
Нур-Султан (Астана),2009,минивэн,2.4,139000,вариатор,справа,полный привод,Нет,бензин,Toyota,Estima,3600000
Семей,2005,внедорожник,5.4,272000,автомат,слева,полный привод,Да,бензин,Lincoln,Navigator,4000000
Шымкент,2014,седан,1.6,135000,механика,слева,передний привод,Да,бензин,ВАЗ (Lada),2170 (седан),2450000
Алматы,2020,седан,1.6,13700,автомат,слева,передний привод,Да,бензин,Hyundai,Elantra,7950000
Павлодар,2016,кроссовер,2.0,55000,вариатор,слева,передний привод,Да,бензин,Toyota,RAV 4,10500000
Алматы,2004,кроссовер,4.5,152000,автомат,слева,полный привод,Да,бензин,Porsche,Cayenne,5800000
Нур-Султан (Астана),2011,седан,1.4,113841,механика,слева,передний привод,Да,бензин,Hyundai,Accent,3450000
Павлодар,1997,седан,3.0,9999999,механика,справа,задний привод,Да,бензин,Toyota,Mark II,4800000
Нур-Султан (Астана),2018,кроссовер,3.5,30000,автомат,слева,полный привод,Да,бензин,Toyota,Highlander,22500000
Костанай,2014,кроссовер,1.6,72000,механика,слева,полный привод,Да,газ-бензин,Renault,Duster,4250000
Актобе,2005,седан,2.4,176000,автомат,слева,передний привод,Нет,бензин,Toyota,Camry,3600000
Костанай,2011,седан,1.6,151000,автомат,слева,передний привод,Нет,бензин,Chevrolet,Cruze,2300000
Нур-Султан (Астана),2013,хэтчбек,1.6,160000,автомат,слева,передний привод,Да,бензин,Hyundai,Accent,4200000
Шымкент,2014,внедорожник,5.0,59253,автомат,слева,полный привод,Да,бензин,Rover,Land Range  Sport,21500000
Тараз,2013,седан,1.5,163000,механика,слева,передний привод,Да,бензин,ЗАЗ,Vida,1700000
Алматы,2006,внедорожник,6.1,212200,автомат,слева,полный привод,Да,бензин,Jeep,Grand Cherokee,9500000
Алматы,2003,кроссовер,2.0,331,автомат,слева,полный привод,Да,бензин,Subaru,Forester,4100000
Павлодар,2007,седан,2.4,380,автомат,слева,передний привод,Да,бензин,Toyota,Camry,4900000
Алматы,2000,седан,2.5,275000,автомат,слева,задний привод,Да,бензин,BMW,525,4300000
Караганда,2005,седан,2.0,177726,типтроник,слева,передний привод,Да,бензин,Mazda,3,2999999
Алматы,2020,седан,1.6,7500,автомат,слева,передний привод,Да,бензин,Kia,Rio,7800000
Усть-Каменогорск,2006,кроссовер,3.5,100000,автомат,слева,полный привод,Да,бензин,Lexus,RX 350,8300000
Атырау,2008,внедорожник,4.7,280000,автомат,слева,полный привод,Нет,бензин,Toyota,Land Cruiser,9600000
Алматы,2006,кроссовер,3.0,171000,автомат,слева,полный привод,Да,бензин,Subaru,Tribeca,5500000
Атырау,2002,купе,5.0,150000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,CL 500,3500000
Алматы,2017,кроссовер,2.0,42500,автомат,слева,полный привод,Да,бензин,Rover,Land Range  Velar,28000000
Усть-Каменогорск,2006,седан,1.6,34000,механика,слева,задний привод,Нет,бензин,ВАЗ (Lada),2107,800000
Шымкент,1993,седан,2.3,300000,механика,слева,передний привод,Да,бензин,Audi,100,1550000
Нур-Султан (Астана),1996,универсал,1.8,245896,механика,слева,передний привод,Да,бензин,Audi,A6,2200000
Уральск,2010,седан,2.0,150000,автомат,слева,полный привод,Да,бензин,Audi,A4,4300000
Усть-Каменогорск,2019,лифтбек,1.6,80000,автомат,слева,передний привод,Да,бензин,Skoda,Rapid,7000000
Усть-Каменогорск,2015,пикап,2.7,50000,механика,слева,полный привод,Да,бензин,УАЗ,3303,2700000
Алматы,2006,хэтчбек,1.6,278000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2114 (хэтчбек),1000000
Нур-Султан (Астана),2019,седан,2.5,52786,автомат,слева,передний привод,Да,бензин,Toyota,Camry,12500000
Костанай,2015,кроссовер,2.0,150000,вариатор,слева,полный привод,Да,бензин,Nissan,X-Trail,7800000
Актобе,1996,седан,2.5,150000,механика,слева,передний привод,Да,бензин,Opel,Vectra,1200000
Нур-Султан (Астана),2014,кроссовер,3.6,50000,типтроник,слева,полный привод,Да,бензин,Volkswagen,Touareg,14000000
Шымкент,2018,кроссовер,1.4,21459,механика,слева,передний привод,Да,бензин,Kia,Stonic,7700000
Темиртау,2014,седан,4.7,30000,автомат,слева,задний привод,Да,бензин,Mercedes-Benz,S 500,25000000
Нур-Султан (Астана),2013,хэтчбек,1.6,150300,автомат,слева,передний привод,Да,бензин,Hyundai,Accent,4500000
Усть-Каменогорск,2013,седан,2.5,98000,автомат,слева,передний привод,Нет,бензин,Toyota,Camry,6500000
Шымкент,2011,седан,2.0,194500,автомат,слева,передний привод,Да,бензин,Chevrolet,Epica,3500000
Нур-Султан (Астана),2003,седан,2.2,197800,типтроник,слева,задний привод,Да,бензин,BMW,520,4200000
Алматы,2018,кроссовер,2.0,25000,вариатор,слева,полный привод,Да,бензин,Lexus,NX 200,17000000
Усть-Каменогорск,2016,кроссовер,2.0,62000,вариатор,слева,полный привод,Да,бензин,Toyota,RAV 4,11300000
Алматы,2018,пикап,3.0,46000,типтроник,слева,полный привод,Да,дизель,Volkswagen,Amarok,23500000
Нур-Султан (Астана),2015,кроссовер,2.0,50000,автомат,слева,полный привод,Да,бензин,Mercedes-Benz,GLK 250,11400000
Актобе,2007,кроссовер,2.4,200000,автомат,слева,полный привод,Да,газ-бензин,Honda,CR-V,5800000
Алматы,2006,минивэн,3.0,165800,автомат,справа,передний привод,Нет,газ-бензин,Honda,Elysion,4500000
Актау,2018,седан,1.6,18500,автомат,слева,передний привод,Да,бензин,Kia,Rio,6800000
Караганда,1997,седан,2.8,327482,автомат,слева,полный привод,Да,бензин,Mercedes-Benz,E 280,2800000
Нур-Султан (Астана),2014,седан,4.7,53000,автомат,слева,полный привод,Да,бензин,Mercedes-Benz,S 500,25000000
Нур-Султан (Астана),2006,седан,1.5,310000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2115 (седан),500000
Нур-Султан (Астана),2013,седан,1.6,70000,механика,слева,передний привод,Да,бензин,Hyundai,Accent,4250000
Алматы,2017,купе,2.0,15000,робот,слева,полный привод,Да,бензин,Mercedes-Benz,CLA 45 AMG,21000000
Уральск,2000,внедорожник,4.7,300000,автомат,слева,полный привод,Нет,газ-бензин,Lexus,LX 470,5200000
Нур-Султан (Астана),2002,минивэн,2.0,362698,механика,слева,передний привод,Да,бензин,Mazda,Premacy,2000000
Алматы,1997,седан,2.2,1111111,автомат,слева,передний привод,Да,бензин,Toyota,Camry,2900000
Актобе,1992,седан,2.0,300000,механика,слева,передний привод,Нет,бензин,Audi,80,400000
Шымкент,2005,внедорожник,3.0,343906,автомат,слева,полный привод,Да,дизель,Nissan,Patrol,5000000
Кызылорда,2011,кроссовер,3.5,140000,автомат,слева,полный привод,Да,бензин,Toyota,Highlander,11800000
Алматы,2007,кроссовер,3.0,185000,робот,слева,полный привод,Да,бензин,BMW,X5,7300000
Алматы,2018,седан,3.0,23469,автомат,слева,полный привод,Да,бензин,Mercedes-Benz,S 450,47100000
Нур-Султан (Астана),2010,хэтчбек,1.3,145000,автомат,слева,передний привод,Да,бензин,Nissan,Micra,3690000
Жанаозен,2006,внедорожник,4.0,60000,автомат,слева,задний привод,Да,газ-бензин,Nissan,Pathfinder,5700000
Нур-Султан (Астана),2007,седан,1.6,135000,автомат,слева,передний привод,Да,бензин,Toyota,Corolla,4200000
Караганда,1997,внедорожник,2.8,217000,автомат,слева,полный привод,Да,дизель,Mitsubishi,Pajero,2800000
Рудный,2008,седан,1.5,150000,механика,слева,передний привод,Нет,бензин,ВАЗ (Lada),2115 (седан),780000
Нур-Султан (Астана),2009,седан,1.6,84000,механика,слева,передний привод,Нет,бензин,Lifan,Breez,1000000
Алматы,2012,кроссовер,3.5,82000,автомат,слева,полный привод,Да,бензин,Toyota,Highlander,13500000
Алматы,2011,седан,4.8,79000,типтроник,слева,полный привод,Да,бензин,Porsche,Panamera,14800000
Алматы,2017,минивэн,2.2,54000,автомат,слева,задний привод,Да,дизель,Mercedes-Benz,V 220,23000000
Алматы,1994,седан,1.6,390000,механика,слева,передний привод,Да,бензин,Nissan,Primera,750000
Алматы,1992,внедорожник,2.4,306000,автомат,справа,полный привод,Да,дизель,Toyota,Hilux Surf,2300000
Костанай,1998,седан,2.0,440,механика,слева,передний привод,Нет,бензин,Nissan,Maxima,1500000
Караганда,1989,седан,1.8,312000,механика,слева,передний привод,Да,бензин,Volkswagen,Passat,1280000
